complaint_id,order_id,complaint_text,severity,resolution_type
CMP-00001,ORD-00788,Product from ORD-00788 is good but took 1 extra day compared to the estimate.,low,no_action
CMP-00002,ORD-00728,Order ORD-00728 arrived with missing parts. The charger was not included in the box.,medium,partial_refund
CMP-00003,ORD-00463,Delivery for ORD-00463 was left at the doorstep without notification. Please improve this.,low,no_action
CMP-00004,ORD-00381,I received a wrong item in order ORD-00381. I ordered headphones but got a mouse. Need exchange.,medium,replacement_sent
CMP-00005,ORD-00870,Order ORD-00870 was marked delivered but I haven't received it. Delivery agent marked wrong.,medium,partial_refund
CMP-00006,ORD-00016,I need to cancel order ORD-00016 but the app won't let me. It hasn't shipped yet.,medium,replacement_sent
CMP-00007,ORD-01184,"Order ORD-01184 is a SCAM - the product is counterfeit, not genuine. I want full refund and compensation.",high,escalated_to_manager
CMP-00008,ORD-01021,I've been given the runaround for 2 weeks about order ORD-01021 refund. Filing complaint with consumer forum.,high,escalated_to_manager
CMP-00009,ORD-00485,Order ORD-00485 product is DEFECTIVE and almost caused a safety hazard. This needs immediate attention.,high,investigation_opened
CMP-00010,ORD-01028,Order ORD-01028 is delayed by 3 days now. I need it for an event this weekend. Please expedite.,medium,replacement_sent
CMP-00011,ORD-00552,My order ORD-00552 was split into two shipments without notice. One part is still missing.,medium,rescheduled_delivery
CMP-00012,ORD-00842,Order ORD-00842 was marked delivered but I haven't received it. Delivery agent marked wrong.,medium,exchange_initiated
CMP-00013,ORD-01119,"My order ORD-01119 worth $500+ has vanished. No tracking, no updates, no support. Considering legal action.",high,escalated_to_manager
CMP-00014,ORD-01181,Order ORD-01181 is 10 days late and nobody from support is helping. This is unacceptable! Escalate NOW.,high,refund_with_compensation
CMP-00015,ORD-00752,Order ORD-00752 is delayed by 3 days now. I need it for an event this weekend. Please expedite.,medium,rescheduled_delivery
CMP-00016,ORD-00069,Order ORD-00069 is 10 days late and nobody from support is helping. This is unacceptable! Escalate NOW.,high,investigation_opened
CMP-00017,ORD-00078,I paid for express shipping on order ORD-00078 but it's being shipped standard. Need correction.,medium,replacement_sent
CMP-00018,ORD-01164,Order ORD-01164 has been stuck in transit for 5 days. No tracking updates. Very frustrating.,medium,replacement_sent
CMP-00019,ORD-00990,Order ORD-00990 was delivered but the seal was broken. I suspect it's a returned product.,medium,partial_refund
CMP-00020,ORD-00755,Order ORD-00755 was supposed to arrive yesterday but came today. Minor inconvenience.,low,no_action
CMP-00021,ORD-00232,Order ORD-00232 product has a scratch on the screen. It's supposed to be brand new.,medium,exchange_initiated
CMP-00022,ORD-00987,Order ORD-00987 was delivered but the seal was broken. I suspect it's a returned product.,medium,partial_refund
CMP-00023,ORD-00164,Order ORD-00164 delivered broken product. Customer service hung up on me TWICE. Absolutely furious.,high,escalated_to_manager
CMP-00024,ORD-00291,Order ORD-00291: product arrived but doesn't match the size specifications listed.,medium,rescheduled_delivery
CMP-00025,ORD-01079,Order ORD-01079 arrived with missing parts. The charger was not included in the box.,medium,rescheduled_delivery
CMP-00026,ORD-00573,Order ORD-00573 was supposed to arrive yesterday but came today. Minor inconvenience.,low,apology_email
CMP-00027,ORD-00953,Order ORD-00953 delivery was rescheduled twice without my consent. Very inconvenient.,medium,replacement_sent
CMP-00028,ORD-01059,Order ORD-01059 delivery was rescheduled twice without my consent. Very inconvenient.,medium,rescheduled_delivery
CMP-00029,ORD-00161,I've been waiting for order ORD-00161 refund for a week now. When will it be processed?,medium,replacement_sent
CMP-00030,ORD-01072,"Minor issue with order ORD-01072 - the accessories were in a separate bag, initially thought missing.",low,apology_email
CMP-00031,ORD-00182,The invoice for order ORD-00182 has a small typo in my name. Can you correct it?,low,no_action
CMP-00032,ORD-00503,The packaging for order ORD-00503 was slightly damaged but the product inside is okay.,low,no_action
CMP-00033,ORD-00968,The packaging for order ORD-00968 was slightly damaged but the product inside is okay.,low,coupon_issued
CMP-00034,ORD-00160,Order ORD-00160 tracking was not updating for a day. It arrived though.,low,no_action
CMP-00035,ORD-01105,Order ORD-01105 product has a scratch on the screen. It's supposed to be brand new.,medium,replacement_sent
CMP-00036,ORD-00640,Order ORD-00640 was delivered to the right address but wrong apartment number initially.,low,coupon_issued
CMP-00037,ORD-00109,"Order ORD-00109 is a SCAM - the product is counterfeit, not genuine. I want full refund and compensation.",high,refund_with_compensation
CMP-00038,ORD-00704,My order ORD-00704 was split into two shipments without notice. One part is still missing.,medium,replacement_sent
CMP-00039,ORD-01096,The packaging for order ORD-01096 was slightly damaged but the product inside is okay.,low,no_action
CMP-00040,ORD-00023,Order ORD-00023 - I've called 5 times about my missing package. Each time told to wait. I want my money back NOW.,high,refund_with_compensation
CMP-00041,ORD-00961,I've been waiting for order ORD-00961 refund for a week now. When will it be processed?,medium,rescheduled_delivery
